"timeframe","ward2012","ward2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2013,"Ward 2",2,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",427,2977
2014,"Ward 2",2,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",341,2765
2015,"Ward 2",2,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",311,2686
2000,"Ward 3",3,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",42,221
2001,"Ward 3",3,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",42,192
2002,"Ward 3",3,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",50,205
2003,"Ward 3",3,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",39,200
2004,"Ward 3",3,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",41,237
2005,"Ward 3",3,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",36,243
2006,"Ward 3",3,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",37,265
2007,"Ward 3",3,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",37,246
2008,"Ward 3",3,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",36,242
2009,"Ward 3",3,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",43,334
2010,"Ward 3",3,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",47,414
2011,"Ward 3",3,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",63,502
2012,"Ward 3",3,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",66,582
2013,"Ward 3",3,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",66,630
2014,"Ward 3",3,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",53,631
2015,"Ward 3",3,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",41,700
2000,"Ward 4",4,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",3219,6047
2001,"Ward 4",4,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",3096,5585
2002,"Ward 4",4,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",3203,5506
2003,"Ward 4",4,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",3196,6136
2004,"Ward 4",4,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",3365,6713
2005,"Ward 4",4,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",3398,7081
2006,"Ward 4",4,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",3316,7383
2007,"Ward 4",4,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",3037,7364
2008,"Ward 4",4,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",3175,7961
2009,"Ward 4",4,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",3608,10217
2010,"Ward 4",4,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",3965,12644
2011,"Ward 4",4,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",4213,14961
2012,"Ward 4",4,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",4536,16210
2013,"Ward 4",4,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",4281,16331
2014,"Ward 4",4,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",3843,15070
2015,"Ward 4",4,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",3619,15362
2000,"Ward 5",5,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",6052,10348
2001,"Ward 5",5,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",5907,10103
2002,"Ward 5",5,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",6114,10483
2003,"Ward 5",5,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",6316,12027
2004,"Ward 5",5,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",7109,13644
2005,"Ward 5",5,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",7034,14136
2006,"Ward 5",5,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",6493,13446
2007,"Ward 5",5,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",5923,13223
2008,"Ward 5",5,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",6089,14218
2009,"Ward 5",5,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",6284,16407
2010,"Ward 5",5,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",6256,18074
2011,"Ward 5",5,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",6601,20628
2012,"Ward 5",5,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",6582,21442
2013,"Ward 5",5,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",6331,21502
2014,"Ward 5",5,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",6059,20101
2015,"Ward 5",5,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",5697,19703
2000,"Ward 6",6,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",6212,12636
2001,"Ward 6",6,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",6325,11900
2002,"Ward 6",6,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",6228,12367
2003,"Ward 6",6,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",6421,13845
2004,"Ward 6",6,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",6522,14645
2005,"Ward 6",6,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",6201,14315
2006,"Ward 6",6,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",5453,13465
2007,"Ward 6",6,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",4932,12918
2008,"Ward 6",6,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",4485,13057
2009,"Ward 6",6,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",4442,14195
2010,"Ward 6",6,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",4520,15745
2011,"Ward 6",6,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",4519,16951
2012,"Ward 6",6,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",4506,17124
2013,"Ward 6",6,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",4330,17034
2014,"Ward 6",6,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",4206,15881
2015,"Ward 6",6,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",3697,15277
2000,"Ward 7",7,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",9729,16273
2001,"Ward 7",7,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",9994,15873
2002,"Ward 7",7,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",10418,16450
2003,"Ward 7",7,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",10078,17365
2004,"Ward 7",7,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",10347,18280
2005,"Ward 7",7,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",10637,19453
2006,"Ward 7",7,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",10492,20062
2007,"Ward 7",7,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",10177,19719
2008,"Ward 7",7,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",10074,20432
2009,"Ward 7",7,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",11032,23892
2010,"Ward 7",7,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",11345,26834
2011,"Ward 7",7,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",11781,30189
2012,"Ward 7",7,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",12066,32017
2013,"Ward 7",7,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",12338,33773
2014,"Ward 7",7,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",12114,32763
2015,"Ward 7",7,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",11789,32767
2000,"Ward 8",8,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",16508,24797
2001,"Ward 8",8,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",16210,23000
2002,"Ward 8",8,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",16333,23581
2003,"Ward 8",8,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",16771,25454
2004,"Ward 8",8,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",17057,26543
2005,"Ward 8",8,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",16481,26643
2006,"Ward 8",8,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",15158,26389
2007,"Ward 8",8,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",14810,26566
2008,"Ward 8",8,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",15174,28043
2009,"Ward 8",8,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",16289,32228
2010,"Ward 8",8,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",16672,36251
2011,"Ward 8",8,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",17030,40256
2012,"Ward 8",8,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",17579,42888
2013,"Ward 8",8,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",17843,44525
2014,"Ward 8",8,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",17926,43883
2015,"Ward 8",8,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",16839,44022

